,Phenotype,CommonBetweenUsandGWAS,Identified,AUC,F1score,MCC,ActualSNPs,MappedGene,Location
0,ADHD,42,11,11,0,11,"['rs609412', 'rs7580488', 'rs874426', 'rs704061', 'rs6990255', 'rs8321', 'rs2241685', 'rs4129585', 'rs1822881', 'rs11801229', 'rs12613775']","['LINC01965', 'TEX41, RPL6P5', 'NAV2', 'MYT1L', 'POC1B, DUSP6', 'TSNARE1', 'CUL3, CCDC195', 'LRRN2', 'RPL10AP3, PPP1R3B', 'PPP2R2B', 'POLR1H']","['2:103964045', '2:145286484', '11:19548016', '2:1922221', '12:89378126', '8:142231572', '2:224608546', '1:204645347', '8:34269430', '5:146845681', '6:30064745']"
1,Allergicrhinitis,16,0,0,0,0,[],[],[]
2,Asthma,408,0,0,0,0,[],[],[]
3,Bipolardisorder,66,9,0,9,0,"['rs1064395', 'rs2287921', 'rs7570682', 'rs12871532', 'rs7565792', 'rs7042161', 'rs12325410', 'rs7795096', 'rs7799006']","['SVEP1', 'NCAN', 'AHCYP3, TCF23', 'RASIP1', 'PRKAG2', ""'-"", 'MRM2', 'PPP1R21-DT, FOXN2', 'RNA5SP404, RNA5SP403']","['9:110434983', '19:19250926', '2:104366809', '19:48725015', '7:151849504', '13:108016199', '7:2238591', '2:48422566', '16:9581389']"
4,Cholesterol,130,31,31,0,31,"['rs6859', 'rs1801701', 'rs1564348', 'rs803073', 'rs2844795', 'rs4253772', 'rs6495122', 'rs4574573', 'rs5883', 'rs579459', 'rs334558', 'rs485186', 'rs2075650', 'rs445', 'rs518076', 'rs602662', 'rs646776', 'rs9923854', 'rs1367117', 'rs874628', 'rs12984266', 'rs261332', 'rs12976464', 'rs10903129', 'rs4299376', 'rs10421247', 'rs983309', 'rs9312517', 'rs1043879', 'rs3784924', 'rs1800588']","['LINC02117, GDNF-AS1', 'MPV17L2', 'LIPC-AS1, ALDH1A2, LIPC', 'APOB', 'SLC22A1', 'MACO1', 'ABCG8', 'Y_RNA, ABO', 'CELSR2, PSRC1', 'TOMM40', 'SPOCK3', 'LIPC, ALDH1A2', 'CETP', 'CETP', 'CDK6', 'PPARA', 'RSRP1', 'GIPR, RN7SL836P', 'MARK4, NKPD1', 'CEACAM16-AS1', 'NECTIN2', 'APOB', 'FUT2', 'TRIM31, TRIM31-AS1', 'CUX1, SH2B2', 'LITAF', 'ULK3, CPLX3', 'FUT2', 'RNU6-526P, RNU6-1151P', 'GNAI3', 'GSK3B']","['5:37915618', '19:18193890', '15:58435126', '2:21041028', '6:160157828', '1:25442446', '2:43845437', '9:133278724', '1:109275908', '19:44892362', '4:167218229', '15:58431476', '16:56973441', '16:56983090', '7:92779056', '22:46231706', '1:25243590', '19:45659141', '19:45154228', '19:44690262', '19:44878777', '2:21005955', '19:48703728', '6:30106070', '7:102284988', '16:11550986', '15:74833304', '19:48703949', '8:9320222', '1:109566417', '3:120094435']"
5,Cravessugar,2,0,0,0,0,[],[],[]
6,Dentaldecay,24,2,0,0,2,"['rs2875517', 'rs1065489']","['CFH', 'PCDH9']","['1:196740644', '13:67122013']"
7,Depression,82,10,1,10,1,"['rs7597593', 'rs10250997', 'rs9601248', 'rs7647854', 'rs10503253', 'rs9747992', 'rs7174755', 'rs1568452', 'rs9943849', 'rs4741652']","['RN7SL592P, SMARCA2', 'CSMD1', 'ZP3P2', 'EHHADH-AS1, C3orf70', 'ACTG1P22, VRK2', 'ZNF804A', 'CBX4, LINC01977', 'ITGA11', 'LINC01068', 'CPM']","['9:2194227', '8:4323322', '7:136461788', '3:185158995', '2:57785698', '2:184668853', '17:79831041', '15:68304789', '13:79594869', '12:68976976']"
8,DiagnosedVitaminDdeficiency,4,1,0,1,0,['rs1532085'],['ALDH1A2'],['15:58391167']
9,DiagnosedwithSleepApnea,6,1,1,0,1,['rs1815739'],['ACTN3'],['11:66560624']
